"hog","direction","regulator_classes","target_occurrences","other_occurrences","target_prevalence","other_prevalence","target_minus_other","n_target_anchors","n_target_anchors_3_of_4","n_pairs_target_higher","null_target_mean","fold_over_edge_swap","p_edge_swap_target","p_edge_swap_contrast","q_edge_swap_target","q_edge_swap_contrast","bdis_gene","best_arabi_gene","best_arabi_defline","best_rice_gene","best_rice_defline"
"HOG:0024509","annual","any_regulator;protein_kinase",0,0,0,0,0,0,0,0,1.91983967935872,0,1,0.762,1,1,"Bradi5g13960.v3.2","AT1G27190","Leucine-rich repeat protein kinase family protein","LOC_Os04g41030","inactive receptor kinase At1g27190 precursor, putative, expressed"
"HOG:0025912","annual","any_regulator;gene_expression_regulator;transcription_regulator",3,4,0.05,0.0666666666666667,-0.0166666666666667,2,0,1,2.65931863727455,1.12810851544838,0.496,0.762,1,1,"Bradi3g24210.v3.2","AT5G48150","GRAS family transcription factor","LOC_Os10g22430","gibberellin response modulator protein, putative, expressed"
"HOG:0020287","annual","any_regulator;protein_kinase",0,0,0,0,0,0,0,0,1.70140280561122,0,1,0.766,1,1,"Bradi4g38400.v3.2","AT5G03730","Protein kinase superfamily protein","LOC_Os09g39320","CTR1-like protein kinase, putative, expressed"
"HOG:0016230","annual","any_regulator;protein_kinase",0,0,0,0,0,0,0,0,1.12625250501002,0,1,0.772,1,1,"Bradi2g46340.v3.2","AT2G31010","Protein kinase superfamily protein","LOC_Os01g48330","protein kinase domain containing protein, expressed"
"HOG:0027351","annual","any_regulator;protein_kinase",11,11,0.183333333333333,0.183333333333333,0,6,1,2,5.67935871743487,1.93683839096683,0.026,0.776,0.0937575757575757,1,"Bradi1g43097.v3.2; Bradi3g56517.v3.2; Bradi4g25645.v3.2","AT3G13290","varicose-related","LOC_Os06g19660; LOC_Os02g49090","WD domain, G-beta repeat domain containing protein, expressed"
"HOG:0022231","annual","any_regulator;gene_expression_regulator;transcription_regulator;dna_binding_tf",0,0,0,0,0,0,0,0,0.442885771543086,0,1,0.78,1,1,"Bradi4g31040.v3.2","","","LOC_Os09g26420","AP2 domain containing protein, expressed"
"HOG:0032307","annual","any_regulator;protein_kinase",0,2,0,0.0333333333333333,-0.0333333333333333,0,0,0,6.90981963927856,0,1,0.786,1,1,"Bradi1g41780.v3.2; Bradi2g15317.v3.2; Bradi2g16337.v3.2; Bradi2g36470.v3.2; Bradi2g44350.v3.2; Bradi2g45870.v3.2","AT2G42880; AT5G19010","MAP kinase 20; mitogen-activated protein kinase 16","LOC_Os06g26340; LOC_Os05g05160; LOC_Os01g43910; LOC_Os01g47530","CGMC_MAPKCMGC_2.10 - CGMC includes CDA, MAPK, GSK3, and CLKC kinases, expressed; CGMC_MAPKCGMC_2.1 - CGMC includes CDA, MAPK, GSK3, and CLKC kinases, expressed; CGMC_MAPKCMGC_2.4 - CGMC includes CDA, MAPK, GSK3, and CLKC kinases, expressed; CGMC_MAPKCMGC_2.6 - CGMC includes CDA, MAPK, GSK3, and CLKC kinases, expressed"
"HOG:0012210","annual","any_regulator;protein_kinase",9,8,0.15,0.133333333333333,0.0166666666666667,7,0,2,5.28657314629258,1.70242608036391,0.064,0.788,0.211555555555556,1,"Bradi2g26547.v3.2","AT5G13530","protein kinases;ubiquitin-protein ligases","LOC_Os05g32570","RING E3 ligase protein, putative, expressed"
"HOG:0020787","annual","any_regulator;gene_expression_regulator;transcription_regulator",0,0,0,0,0,0,0,0,1.25250501002004,0,1,0.79,1,1,"Bradi2g09530.v3.2","AT4G35580","NAC transcription factor-like 9","LOC_Os01g15640","no apical meristem protein, putative, expressed"
"HOG:0011316","annual","any_regulator;gene_expression_regulator;transcription_regulator",0,1,0,0.0166666666666667,-0.0166666666666667,0,0,0,1.94789579158317,0,1,0.8,1,1,"Bradi3g33440.v3.2","","","LOC_Os10g41260","MYB family transcription factor, putative, expressed"
"HOG:0020382","annual","any_regulator;gene_expression_regulator;chromatin_regulator",1,2,0.0166666666666667,0.0333333333333333,-0.0166666666666667,1,0,0,4.78156312625251,0.209136630343671,0.998,0.804,1,1,"Bradi2g47940.v3.2","AT4G29730","nucleosome/chromatin assembly factor group C5","LOC_Os01g51300","WD domain, G-beta repeat domain containing protein, expressed"
"HOG:0032608","annual","any_regulator;protein_kinase",0,1,0,0.0166666666666667,-0.0166666666666667,0,0,0,0.629258517034068,0,1,0.81,1,1,"Bradi5g09210.v3.2","AT3G52890","KCBP-interacting protein kinase","",""
"HOG:0006131","annual","any_regulator;gene_expression_regulator;chromatin_regulator",21,22,0.35,0.366666666666667,-0.0166666666666667,8,5,2,2.80160320641283,7.49570815450644,0.002,0.816,0.00991666666666667,1,"Bradi1g26420.v3.2","AT5G55040","DNA-binding bromodomain-containing protein","",""
"HOG:0032487","annual","any_regulator;protein_kinase",1,1,0.0166666666666667,0.0166666666666667,0,1,0,1,2.13627254509018,0.468105065666041,0.884,0.84,1,1,"Bradi2g06260.v3.2","","","LOC_Os01g10450","protein kinase domain containing protein, expressed"
"HOG:0016398","annual","any_regulator;gene_expression_regulator;transcription_regulator;dna_binding_tf",0,0,0,0,0,0,0,0,3.35270541082164,0,1,0.842,1,1,"Bradi1g46690.v3.2; Bradi3g60120.v3.2","AT3G14230","related to AP2 2","LOC_Os06g09390; LOC_Os02g54160","AP2 domain containing protein, expressed"
"HOG:0031475","annual","any_regulator;gene_expression_regulator;transcription_regulator",0,0,0,0,0,0,0,0,1.95991983967936,0,1,0.87,1,1,"Bradi5g19190.v3.2","AT5G52510","SCARECROW-like 8","LOC_Os04g49110","GRAS family transcription factor domain containing protein, expressed"
"HOG:0024562","annual","any_regulator;gene_expression_regulator;transcription_regulator;dna_binding_tf",0,3,0,0.05,-0.05,0,0,0,5.44488977955912,0,1,0.87,1,1,"Bradi2g28680.v3.2","AT3G51800","metallopeptidase M24 family protein","LOC_Os05g28280","peptidase, M24 family protein, putative, expressed"
"HOG:0020292","annual","any_regulator;protein_kinase",4,6,0.0666666666666667,0.1,-0.0333333333333333,3,0,0,2.66533066132265,1.50075187969925,0.276,0.884,0.8211,1,"Bradi3g59510.v3.2","AT1G18160","Protein kinase superfamily protein","LOC_Os02g50970","protein kinase domain containing protein, expressed"
"HOG:0028703","annual","any_regulator;ubiquitin_transferase",0,2,0,0.0333333333333333,-0.0333333333333333,0,0,0,1.00400801603206,0,1,0.888,1,1,"Bradi1g67280.v3.2","AT1G45976","S-ribonuclease binding protein 1","LOC_Os03g15730","S-RNase-binding protein, putative, expressed"
"HOG:0026481","annual","any_regulator;gene_expression_regulator;transcription_regulator",4,6,0.0666666666666667,0.1,-0.0333333333333333,3,0,1,4.18236472945892,0.956396741734547,0.604,0.904,1,1,"Bradi1g13450.v3.2","AT5G18230","transcription regulator NOT2/NOT3/NOT5 family protein","LOC_Os03g44900","CCR4-NOT transcription factor, putative, expressed"
"HOG:0008658","annual","any_regulator;gene_expression_regulator;transcription_regulator;dna_binding_tf",0,1,0,0.0166666666666667,-0.0166666666666667,0,0,0,1.06813627254509,0,1,0.91,1,1,"Bradi4g32737.v3.2","AT4G40060","homeobox protein 16","LOC_Os09g29460","homeobox associated leucine zipper, putative, expressed"
"HOG:0023487","annual","any_regulator;ubiquitin_transferase",0,2,0,0.0333333333333333,-0.0333333333333333,0,0,0,1.04008016032064,0,1,0.916,1,1,"Bradi3g09000.v3.2","AT1G29340","plant U-box 17","LOC_Os02g13960","spotted leaf 11, putative, expressed"
"HOG:0010723","annual","any_regulator;gene_expression_regulator;chromatin_regulator",9,11,0.15,0.183333333333333,-0.0333333333333333,6,0,1,3.86973947895792,2.32573795960642,0.016,0.92,0.068,1,"Bradi1g47367.v3.2","AT2G25170","chromatin remodeling factor CHD3 (PICKLE)","LOC_Os06g08480","CHD3-type chromatin-remodeling factor PICKLE, putative, expressed"
"HOG:0028819","annual","any_regulator;gene_expression_regulator;transcription_regulator",7,10,0.116666666666667,0.166666666666667,-0.05,5,0,1,2.59318637274549,2.69938176197836,0.016,0.926,0.068,1,"Bradi1g27170.v3.2","AT3G16940","calmodulin binding;transcription regulators","LOC_Os07g30774","calmodulin-binding transcription activator 5, putative, expressed"
"HOG:0012193","annual","any_regulator;protein_kinase",0,2,0,0.0333333333333333,-0.0333333333333333,0,0,0,1.97995991983968,0,1,0.958,1,1,"Bradi3g05520.v3.2","","","LOC_Os02g07790","serine/threonine-protein kinase HT1, putative, expressed"
"HOG:0025468","annual","any_regulator;protein_kinase",8,12,0.133333333333333,0.2,-0.0666666666666667,5,1,0,3.37074148296593,2.37336504161712,0.022,0.97,0.0844516129032258,1,"Bradi1g08977.v3.2","AT1G04210","Leucine-rich repeat protein kinase family protein","LOC_Os03g53250","expressed protein"
"HOG:0026208","annual","any_regulator;protein_kinase",4,9,0.0666666666666667,0.15,-0.0833333333333333,4,0,2,1.28256513026052,3.11875,0.034,0.972,0.1156,1,"Bradi4g02900.v3.2","AT3G24715","Protein kinase superfamily protein with octicosapeptide/Phox/Bem1p domain","",""
"HOG:0028434","annual","any_regulator;protein_kinase",0,3,0,0.05,-0.05,0,0,0,1.11022044088176,0,1,0.98,1,1,"Bradi1g24567.v3.2","AT2G20850","STRUBBELIG-receptor family 1","LOC_Os07g37810","STRUBBELIG-RECEPTOR FAMILY 1 precursor, putative, expressed"
"HOG:0005982","annual","any_regulator;gene_expression_regulator;chromatin_regulator",14,18,0.233333333333333,0.3,-0.0666666666666667,10,0,0,3.18637274549098,4.3937106918239,0.002,0.986,0.00991666666666667,1,"Bradi3g57770.v3.2","AT1G77800","PHD finger family protein","LOC_Os02g52960","PHD-finger domain containing protein, putative, expressed"
"HOG:0018223","annual","any_regulator;gene_expression_regulator;transcription_regulator;dna_binding_tf",0,0,0,0,0,0,0,0,0.32064128256513,0,1,0.988,1,1,"Bradi2g02100.v3.2","","","LOC_Os01g04020","AP2 domain containing protein, expressed"
"HOG:0004112","annual","any_regulator;gene_expression_regulator;chromatin_regulator",5,10,0.0833333333333333,0.166666666666667,-0.0833333333333333,4,0,1,2.81362725450902,1.77706552706553,0.138,0.992,0.443837837837838,1,"Bradi2g38030.v3.2; Bradi2g62697.v3.2","AT5G60410","DNA-binding protein with MIZ/SP-RING zinc finger, PHD-finger and SAP domain","LOC_Os05g03430","ATSIZ1/SIZ1, putative, expressed"
"HOG:0032142","annual","any_regulator;gene_expression_regulator;transcription_regulator",14,19,0.233333333333333,0.316666666666667,-0.0833333333333333,7,2,1,2.28256513026052,6.13345039508341,0.002,0.996,0.00991666666666667,1,"Bradi3g33190.v3.2","AT1G02080","transcription regulators","LOC_Os10g40780","CCR4-Not complex component, Not1domain containing protein, expressed"
"HOG:0032898","annual","any_regulator;gene_expression_regulator;transcription_regulator",21,28,0.35,0.466666666666667,-0.116666666666667,12,3,2,3.54108216432866,5.93039049235993,0.002,1,0.00991666666666667,1,"Bradi1g49497.v3.2","AT4G25515","SEUSS-like 3","LOC_Os06g03600","transcriptional corepressor SEUSS, putative, expressed"
"HOG:0006360","annual","any_regulator;gene_expression_regulator;transcription_regulator",7,13,0.116666666666667,0.216666666666667,-0.1,6,0,2,2.71342685370742,2.57976366322009,0.028,1,0.098,1,"Bradi2g20517.v3.2","AT5G04290","kow domain-containing transcription factor 1","LOC_Os05g43060","retrotransposon, putative, centromere-specific, expressed"
"HOG:0012578","annual","any_regulator;protein_kinase",0,6,0,0.1,-0.1,0,0,0,3.98997995991984,0,1,1,1,1,"Bradi2g43580.v3.2","AT1G71410","ARM repeat superfamily protein","LOC_Os01g42950","protein kinase family protein, putative, expressed"
"HOG:0017160","perennial","any_regulator;gene_expression_regulator;chromatin_regulator",19,6,0.59375,0.1875,0.40625,8,4,4,3.8877755511022,4.88711340206186,0.002,0.002,0.0476,0.238,"Bradi4g35150.v3.2","AT1G05910","cell division cycle protein 48-related / CDC48-related","LOC_Os09g33980","bromodomain protein 103, putative, expressed"
"HOG:0005690","perennial","any_regulator;gene_expression_regulator;chromatin_regulator",21,12,0.65625,0.375,0.28125,8,3,3,5.71142284569138,3.67684210526316,0.002,0.004,0.0476,0.238,"Bradi1g50860.v3.2; Bradi2g18330.v3.2; Bradi3g46800.v3.2; Bradi5g12347.v3.2","AT4G26110; AT1G74560","nucleosome assembly protein1;1; NAP1-related protein 1","LOC_Os06g05660; LOC_Os05g46230; LOC_Os02g36710; LOC_Os04g38620","NAP domain containing protein, putative, expressed; SET, putative, expressed"
"HOG:0006401","perennial","any_regulator;ubiquitin_transferase",12,3,0.375,0.09375,0.28125,8,0,2,4.4188376753507,2.7156462585034,0.002,0.006,0.0476,0.238,"Bradi1g16140.v3.2","AT5G15400","U-box domain-containing protein","LOC_Os03g31400","U-box domain-containing protein, putative, expressed"
"HOG:0025293","perennial","any_regulator;gene_expression_regulator;transcription_regulator",8,0,0.25,0,0.25,6,0,3,4.06412825651303,1.96844181459566,0.044,0.012,0.5236,0.357,"Bradi1g67100.v3.2","AT3G55770","GATA type zinc finger transcription factor family protein","LOC_Os03g15940","OsWLIM2 - LIM domain protein, putative actin-binding protein and transcription factor, expressed"
"HOG:0012089","perennial","any_regulator;protein_kinase",3,1,0.09375,0.03125,0.0625,3,0,1,1.94589178356713,1.54170957775489,0.312,0.262,1,1,"Bradi3g52607.v3.2","AT5G35980","yeast YAK1-related gene 1","LOC_Os02g47410","protein kinase, putative, expressed"
"HOG:0025468","perennial","any_regulator;protein_kinase",4,2,0.125,0.0625,0.0625,4,0,1,3.16032064128256,1.26569435637286,0.382,0.35,1,1,"Bradi1g08977.v3.2","AT1G04210","Leucine-rich repeat protein kinase family protein","LOC_Os03g53250","expressed protein"
"HOG:0025927","perennial","any_regulator;gene_expression_regulator;transcription_regulator",0,0,0,0,0,0,0,0,1.04609218436874,0,1,0.358,1,1,"Bradi2g43077.v3.2","","","LOC_Os01g42260","transcriptional corepressor LEUNIG, putative, expressed"
"HOG:0031475","perennial","any_regulator;gene_expression_regulator;transcription_regulator",0,0,0,0,0,0,0,0,0.661322645290581,0,1,0.38,1,1,"Bradi5g19190.v3.2","AT5G52510","SCARECROW-like 8","LOC_Os04g49110","GRAS family transcription factor domain containing protein, expressed"
"HOG:0011775","perennial","any_regulator;protein_kinase",0,0,0,0,0,0,0,0,1.71743486973948,0,1,0.382,1,1,"Bradi1g00580.v3.2","AT1G16270","Protein kinase superfamily protein with octicosapeptide/Phox/Bem1p domain","",""
"HOG:0026481","perennial","any_regulator;gene_expression_regulator;transcription_regulator",4,3,0.125,0.09375,0.03125,4,0,1,3.21042084168337,1.24594257178527,0.38,0.384,1,1,"Bradi1g13450.v3.2","AT5G18230","transcription regulator NOT2/NOT3/NOT5 family protein","LOC_Os03g44900","CCR4-NOT transcription factor, putative, expressed"
"HOG:0012579","perennial","any_regulator;protein_kinase",6,5,0.1875,0.15625,0.03125,5,0,1,3.18236472945892,1.88539042821159,0.08,0.386,0.865454545454545,1,"Bradi2g53460.v3.2","AT2G40730","Protein kinase family protein with ARM repeat domain","LOC_Os01g60440","HEAT repeat family protein, putative, expressed"
"HOG:0027139","perennial","any_regulator;protein_kinase",16,14,0.5,0.4375,0.0625,8,1,2,4.74148296593186,3.37447168216399,0.002,0.388,0.0476,1,"Bradi1g30720.v3.2","","","LOC_Os06g43840","protein kinase domain containing protein, expressed"
"HOG:0032487","perennial","any_regulator;protein_kinase",0,0,0,0,0,0,0,0,1.03006012024048,0,1,0.4,1,1,"Bradi2g06260.v3.2","","","LOC_Os01g10450","protein kinase domain containing protein, expressed"
"HOG:0012057","perennial","any_regulator;gene_expression_regulator;transcription_regulator;dna_binding_tf",0,0,0,0,0,0,0,0,0.8937875751503,0,1,0.408,1,1,"Bradi1g63780.v3.2","AT2G27050","ETHYLENE-INSENSITIVE3-like 1","LOC_Os03g20780","ethylene-insensitive 3, putative, expressed"
"HOG:0026845","perennial","any_regulator;gene_expression_regulator;transcription_regulator",0,0,0,0,0,0,0,0,0.555110220440882,0,1,0.414,1,1,"Bradi3g34200.v3.2","AT4G17880","Basic helix-loop-helix (bHLH) DNA-binding family protein","LOC_Os10g42430","transcription factor MYC7E, putative, expressed"
"HOG:0025962","perennial","any_regulator;gene_expression_regulator;chromatin_regulator",0,0,0,0,0,0,0,0,2.7374749498998,0,1,0.442,1,1,"Bradi1g45620.v3.2; Bradi3g15380.v3.2","AT3G20010","SNF2 domain-containing protein / helicase domain-containing protein / zinc finger protein-related","LOC_Os08g08220","EDA16, putative, expressed"
"HOG:0012239","perennial","any_regulator;gene_expression_regulator;transcription_regulator",0,0,0,0,0,0,0,0,1.88577154308617,0,1,0.462,1,1,"Bradi3g07877.v3.2","AT5G25520","SPOC domain / Transcription elongation factor S-II protein","LOC_Os02g11780","transcription factor S-II, central domain containing protein, expressed"
"HOG:0027298","perennial","any_regulator;ubiquitin_transferase",0,0,0,0,0,0,0,0,0.965931863727455,0,1,0.474,1,1,"Bradi2g34820.v3.2","AT3G17205","ubiquitin protein ligase 6","LOC_Os05g06690","HECT-domain domain containing protein, expressed"
"HOG:0025960","perennial","any_regulator;gene_expression_regulator;chromatin_regulator",0,0,0,0,0,0,0,0,1.61923847695391,0,1,0.498,1,1,"Bradi2g51727.v3.2","AT1G11100","SNF2 domain-containing protein / helicase domain-containing protein / zinc finger protein-related","LOC_Os01g57110","SNF2 family N-terminal domain containing protein, expressed"
"HOG:0026114","perennial","any_regulator;gene_expression_regulator;transcription_regulator;dna_binding_tf",0,0,0,0,0,0,0,0,1.47895791583166,0,1,0.51,1,1,"Bradi3g58220.v3.2","","","LOC_Os02g52340","OsMADS22 - MADS-box family gene with MIKCc type-box, expressed"
"HOG:0025827","perennial","any_regulator;protein_kinase",0,0,0,0,0,0,0,0,3.69338677354709,0,1,0.512,1,1,"Bradi2g48657.v3.2","AT3G15354","SPA1-related 3","LOC_Os01g52640","suppressor of phythchrome A, putative, expressed"
"HOG:0023486","perennial","any_regulator;protein_kinase",0,0,0,0,0,0,0,0,1.3186372745491,0,1,0.518,1,1,"Bradi1g23970.v3.2","AT5G28080","Protein kinase superfamily protein","LOC_Os07g38530","STE_PAK_Ste20_Slob_Wnk.4 - STE kinases include homologs to sterile 7, sterile 11 and sterile 20 from yeast, expressed"
"HOG:0011541","perennial","any_regulator;gene_expression_regulator;transcription_regulator;chromatin_regulator",0,0,0,0,0,0,0,0,3.03807615230461,0,1,0.528,1,1,"Bradi3g01297.v3.2","AT2G46020","transcription regulatory protein SNF2, putative","LOC_Os02g02290","SNF2 family N-terminal domain containing protein, expressed"
"HOG:0022896","perennial","any_regulator;gene_expression_regulator;chromatin_regulator",0,0,0,0,0,0,0,0,2.09619238476954,0,1,0.534,1,1,"Bradi1g59325.v3.2","AT5G15540","PHD finger family protein","LOC_Os07g01940","sister chromatid cohesion 2, putative, expressed"
"HOG:0032897","perennial","any_regulator;gene_expression_regulator;transcription_regulator",0,0,0,0,0,0,0,0,3.95991983967936,0,1,0.534,1,1,"Bradi2g26970.v3.2; Bradi4g22770.v3.2","AT1G43850","SEUSS transcriptional co-regulator","LOC_Os11g10060","transcriptional corepressor SEUSS, putative, expressed"
"HOG:0024509","perennial","any_regulator;protein_kinase",0,0,0,0,0,0,0,0,1.14228456913828,0,1,0.556,1,1,"Bradi5g13960.v3.2","AT1G27190","Leucine-rich repeat protein kinase family protein","LOC_Os04g41030","inactive receptor kinase At1g27190 precursor, putative, expressed"
"HOG:0016230","perennial","any_regulator;protein_kinase",0,0,0,0,0,0,0,0,0.677354709418838,0,1,0.56,1,1,"Bradi2g46340.v3.2","AT2G31010","Protein kinase superfamily protein","LOC_Os01g48330","protein kinase domain containing protein, expressed"
"HOG:0006332","perennial","any_regulator;gene_expression_regulator;chromatin_regulator",0,0,0,0,0,0,0,0,3.04008016032064,0,1,0.564,1,1,"Bradi1g18770.v3.2","AT5G12400","DNA binding;zinc ion binding;DNA binding","LOC_Os07g46690","PHD-finger family protein, expressed"
"HOG:0025376","perennial","any_regulator;protein_kinase",0,0,0,0,0,0,0,0,1.14228456913828,0,1,0.566,1,1,"Bradi1g74480.v3.2","AT1G08720","Protein kinase superfamily protein","LOC_Os03g06410","protein kinase domain containing protein, expressed"
"HOG:0027702","perennial","any_regulator;gene_expression_regulator;transcription_regulator",0,0,0,0,0,0,0,0,1.52905811623246,0,1,0.566,1,1,"Bradi1g07630.v3.2","AT1G49560","Homeodomain-like superfamily protein","LOC_Os03g55590","MYB family transcription factor, putative, expressed"
"HOG:0005981","perennial","any_regulator;gene_expression_regulator;chromatin_regulator",0,0,0,0,0,0,0,0,1.76152304609218,0,1,0.57,1,1,"Bradi1g46180.v3.2","AT1G77800","PHD finger family protein","LOC_Os06g10690","PHD-finger domain containing protein, putative, expressed"
"HOG:0020787","perennial","any_regulator;gene_expression_regulator;transcription_regulator",0,0,0,0,0,0,0,0,0.671342685370741,0,1,0.574,1,1,"Bradi2g09530.v3.2","AT4G35580","NAC transcription factor-like 9","LOC_Os01g15640","no apical meristem protein, putative, expressed"
"HOG:0012191","perennial","any_regulator;protein_kinase",0,0,0,0,0,0,0,0,1.07615230460922,0,1,0.58,1,1,"Bradi3g18150.v3.2","AT4G31170","Protein kinase superfamily protein","LOC_Os08g12750","serine/threonine-protein kinase HT1, putative, expressed"
"HOG:0022935","perennial","any_regulator;protein_kinase",1,1,0.03125,0.03125,0,1,0,1,2.1122244488978,0.473434535104364,0.9,0.59,1,1,"Bradi1g18450.v3.2","AT1G54610","Protein kinase superfamily protein","LOC_Os07g47180","transposon protein, putative, unclassified, expressed"
"HOG:0020451","perennial","any_regulator;ubiquitin_transferase",0,0,0,0,0,0,0,0,0.599198396793587,0,1,0.598,1,1,"Bradi4g00980.v3.2","AT4G19670","RING/U-box superfamily protein","LOC_Os12g43560","zinc finger, putative, expressed"
"HOG:0005982","perennial","any_regulator;gene_expression_regulator;chromatin_regulator",0,0,0,0,0,0,0,0,2.33867735470942,0,1,0.602,1,1,"Bradi3g57770.v3.2","AT1G77800","PHD finger family protein","LOC_Os02g52960","PHD-finger domain containing protein, putative, expressed"
"HOG:0004224","perennial","any_regulator;gene_expression_regulator;transcription_regulator",0,0,0,0,0,0,0,0,2.60320641282565,0,1,0.616,1,1,"Bradi2g38160.v3.2","AT3G52250","Duplicated homeodomain-like superfamily protein","LOC_Os05g03550","MYB family transcription factor, putative, expressed"
"HOG:0025848","perennial","any_regulator;gene_expression_regulator;chromatin_regulator",0,1,0,0.03125,-0.03125,0,0,0,3.35070140280561,0,1,0.616,1,1,"Bradi1g57635.v3.2; Bradi2g38108.v3.2; Bradi2g42340.v3.2","AT3G12810","SNF2 domain-containing protein / helicase domain-containing protein","LOC_Os02g46450","helicase conserved C-terminal domain containing protein, expressed"
"HOG:0006399","perennial","any_regulator;protein_kinase",0,0,0,0,0,0,0,0,1.76152304609218,0,1,0.622,1,1,"Bradi5g24870.v3.2","AT3G07980","mitogen-activated protein kinase kinase kinase 6","LOC_Os04g56530","STE_MEKK_ste11_MAP3K.1 - STE kinases include homologs to sterile 7, sterile 11 and sterile 20 from yeast, expressed"
"HOG:0027147","perennial","any_regulator;protein_kinase",0,0,0,0,0,0,0,0,4.84168336673347,0,1,0.622,1,1,"Bradi3g10350.v3.2","AT2G20050","protein serine/threonine phosphatases;protein kinases;catalytics;cAMP-dependent protein kinase regulators;ATP binding;protein serine/threonine phosphatases","LOC_Os02g17970","AGC_PKA/PKG_like.1 - ACG kinases include homologs to PKA, PKG and PKC, expressed"
"HOG:0010710","perennial","any_regulator;protein_kinase",0,0,0,0,0,0,0,0,5.81563126252505,0,1,0.624,1,1,"Bradi2g30567.v3.2","AT1G79600","Protein kinase superfamily protein","LOC_Os05g25840","ELMO/CED-12 family protein, putative, expressed"
"HOG:0016397","perennial","any_regulator;gene_expression_regulator;transcription_regulator",22,22,0.6875,0.6875,0,8,6,2,6.07815631262525,3.61951862842071,0.002,0.626,0.0476,1,"Bradi1g12050.v3.2; Bradi3g28930.v3.2","AT5G61780","TUDOR-SN protein 2","LOC_Os02g32350","TUDOR protein with multiple SNc domains, putative, expressed"
"HOG:0023849","perennial","any_regulator;protein_kinase",0,0,0,0,0,0,0,0,1.97194388777555,0,1,0.632,1,1,"Bradi4g04470.v3.2","AT3G06630","protein kinase family protein","LOC_Os12g37570","protein kinase family protein, putative, expressed"
"HOG:0020287","perennial","any_regulator;protein_kinase",0,0,0,0,0,0,0,0,1.24448897795591,0,1,0.634,1,1,"Bradi4g38400.v3.2","AT5G03730","Protein kinase superfamily protein","LOC_Os09g39320","CTR1-like protein kinase, putative, expressed"
"HOG:0006131","perennial","any_regulator;gene_expression_regulator;chromatin_regulator",0,0,0,0,0,0,0,0,2.48296593186373,0,1,0.636,1,1,"Bradi1g26420.v3.2","AT5G55040","DNA-binding bromodomain-containing protein","",""
"HOG:0004137","perennial","any_regulator;gene_expression_regulator;chromatin_regulator",0,0,0,0,0,0,0,0,2.81162324649299,0,1,0.642,1,1,"Bradi1g18910.v3.2","AT2G13370","chromatin remodeling 5","LOC_Os07g46590","SNF2 family N-terminal domain containing protein, expressed"
"HOG:0012193","perennial","any_regulator;protein_kinase",0,0,0,0,0,0,0,0,1.65130260521042,0,1,0.648,1,1,"Bradi3g05520.v3.2","","","LOC_Os02g07790","serine/threonine-protein kinase HT1, putative, expressed"
"HOG:0010571","perennial","any_regulator;protein_kinase",0,0,0,0,0,0,0,0,6.29258517034068,0,1,0.652,1,1,"Bradi3g55317.v3.2","AT3G24190","Protein kinase superfamily protein","LOC_Os02g57160","ELMO/CED-12 family protein, putative, expressed"
"HOG:0025912","perennial","any_regulator;gene_expression_regulator;transcription_regulator",0,0,0,0,0,0,0,0,2.64929859719439,0,1,0.652,1,1,"Bradi3g24210.v3.2","AT5G48150","GRAS family transcription factor","LOC_Os10g22430","gibberellin response modulator protein, putative, expressed"
"HOG:0033206","perennial","any_regulator;gene_expression_regulator;transcription_regulator;dna_binding_tf",0,0,0,0,0,0,0,0,1.38677354709419,0,1,0.652,1,1,"Bradi5g23340.v3.2","AT1G77920","bZIP transcription factor family protein","LOC_Os04g54474","transcription factor, putative, expressed"
"HOG:0026742","perennial","any_regulator;gene_expression_regulator;transcription_regulator",0,0,0,0,0,0,0,0,4.22244488977956,0,1,0.658,1,1,"Bradi2g16647.v3.2; Bradi2g46230.v3.2","AT5G44180","Homeodomain-like transcriptional regulator","LOC_Os05g48820","DDT, putative, expressed"
"HOG:0022830","perennial","any_regulator;protein_kinase",0,0,0,0,0,0,0,0,6.31462925851703,0,1,0.66,1,1,"Bradi5g07360.v3.2","AT5G58140","phototropin 2","LOC_Os04g23890","AGC_PVPK_like_kin82y.10 - ACG kinases include homologs to PKA, PKG and PKC, expressed"
"HOG:0023530","perennial","any_regulator;gene_expression_regulator;transcription_regulator;dna_binding_tf",0,0,0,0,0,0,0,0,2.28657314629258,0,1,0.664,1,1,"Bradi1g23340.v3.2","AT4G26640","WRKY family transcription factor family protein","LOC_Os07g39480","WRKY87, expressed"
"HOG:0000246","perennial","any_regulator;gene_expression_regulator;transcription_regulator",0,0,0,0,0,0,0,0,1.71743486973948,0,1,0.672,1,1,"Bradi1g63530.v3.2","AT2G20400","myb-like HTH transcriptional regulator family protein","LOC_Os03g21240","myb-like DNA-binding domain containing protein, expressed"
"HOG:0025828","perennial","any_regulator;protein_kinase",0,0,0,0,0,0,0,0,2.45290581162325,0,1,0.674,1,1,"Bradi2g15900.v3.2","AT2G46340","SPA (suppressor of phyA-105) protein family","LOC_Os05g49590","suppressor of phythchrome A, putative, expressed"
"HOG:0020292","perennial","any_regulator;protein_kinase",0,0,0,0,0,0,0,0,2.37875751503006,0,1,0.684,1,1,"Bradi3g59510.v3.2","AT1G18160","Protein kinase superfamily protein","LOC_Os02g50970","protein kinase domain containing protein, expressed"
